Bintang,Sentimen_AI,Jumlah_Data
5.0,Neutral,1
5.0,Positive,2
4.8,Positive,3
4.7,Positive,6
4.6,Positive,16
4.5,Negative,2
4.5,Neutral,1
4.5,Positive,65
4.4,Negative,2
4.4,Neutral,1
4.4,Positive,111
4.3,Negative,7
4.3,Neutral,1
4.3,Positive,203
4.2,Negative,7
4.2,Neutral,1
4.2,Positive,200
4.1,Negative,7
4.1,Neutral,2
4.1,Positive,218
4.0,Negative,10
4.0,Neutral,1
4.0,Positive,150
3.9,Negative,9
3.9,Positive,108
3.8,Negative,8
3.8,Positive,76
3.7,Negative,5
3.7,Positive,36
3.6,Negative,2
3.6,Neutral,1
3.6,Positive,31
3.5,Negative,3
3.5,Positive,23
3.4,Negative,1
3.4,Positive,9
3.3,Negative,6
3.3,Positive,9
3.2,Neutral,1
3.2,Positive,1
3.1,Negative,1
3.1,Positive,3
3.0,Negative,2
3.0,Positive,2
2.9,Positive,1
2.8,Positive,2
2.6,Positive,1
2.3,Neutral,1
2.0,Positive,1
0.0,Positive,1
