review_id,element_id,rating,ground_truth,predicted,score,text,reason
"R3J3EQQ9TZI5ZJ,R3E7WBGK7ID0KV,RWU79XKQ6I1QF,R25X4TBMPY91LX,R27OK7G99VK0TR,R207CYDCHJJTCJ,R3PCU8XMU173BT,R1IMONDOWRNU5V",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475025,3.9,Neutral,Positive,0.6808,"Not quite durable and sturdy,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/71rIggrbUCL._SY88.jpg,Working good,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61bKp9YO6wL._SY88.jpg,Product,Very nice product,Working well,It's a really nice product",-
"R7S8ANNSDPR40,R3CLZFLHVJU26P,RFF7U7MPQFUGR,R1MV1NKC23DWPI,R11D3U0V2XKDKF,R18MP1KLUE18PC,RWGJNVEH5ZQME,R1XN72FU6Q37IH",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475028,3.9,Neutral,Positive,0.6611,"It's a good product.,Like,Very good item strong and useful USB cableValue for moneyThanks to amazon and producer,https://m.media-amazon.com/images/I/51112ZRE-1L._SY88.jpg,Good,Nice product and useful product,-,Sturdy but does not support 33w charging",-
"R7S8ANNSDPR40,R3CLZFLHVJU26P,RFF7U7MPQFUGR,R1MV1NKC23DWPI,R11D3U0V2XKDKF,R18MP1KLUE18PC,RWGJNVEH5ZQME,R1XN72FU6Q37IH",5:6c218a69-b37f-472b-850d-2b9772792e4a:1155174403932160276,3.9,Neutral,Positive,0.6611,"It's a good product.,Like,Very good item strong and useful USB cableValue for moneyThanks to amazon and producer,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51112ZRE-1L._SY88.jpg,Good,Nice product and useful product,-,Sturdy but does not support 33w charging",-
"R7S8ANNSDPR40,R3CLZFLHVJU26P,RFF7U7MPQFUGR,R1MV1NKC23DWPI,R11D3U0V2XKDKF,R18MP1KLUE18PC,RWGJNVEH5ZQME,R1XN72FU6Q37IH",5:6c218a69-b37f-472b-850d-2b9772792e4a:1157426203745845524,3.9,Neutral,Positive,0.6611,"It's a good product.,Like,Very good item strong and useful USB cableValue for moneyThanks to amazon and producer,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51112ZRE-1L._SY88.jpg,Good,Nice product and useful product,-,Sturdy but does not support 33w charging",-
"R2BP8Y5OJXKJLF,R218813TNRHNSY,R3VIKEVJ5DBF5G,R2PQNCTR8TQCT4,R3FI11UEJC9ZOJ,R3ULCCZZHBNLA4,RELIQ4H7CYX2Q,R3ALQNTJN4ER9N",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475038,4.1,Positive,Negative,-0.1887,"Check for offera before buying,18w charging cable,,Awesome cable!Charging, data transfer and durability is simply awesome, and there is not a single disconnection issue, which I always faced in original mi cable from box. Bought 1 more time as last cable damaged when phone fell on usb cable port as my phone is heavy and I never faced any issues so i bought one more time and didn't went for replacement as its waste of time and energy, i also have boat earphones that is also awesome..😄,Good,Charging is very slow. Forget about fast charging. Not useful at all,Cable is not fit properly on my samsung galaxy m31 type C port. If little hit happens then cable is plug it out. Otherwise length and cable quality is very nice,Boat type C cable doesn't support fast charging on Oppo F15, earlier i was using Vooc cable, which worked excellent",Barang Rusak
"R1GYK05NN6747O,R1J21BZ29NGQF9,R16JCHEILBYOMW,R2WVVS88M7SH18,R2MQ3VB8ZTUS48,RBJPTKHYQ7G7U,R37PKO5FUPJW35,R38R2YC2J2BMWR",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475041,3.7,Neutral,Positive,0.1729,"This connector has provided as a boon for my old Samsung LCD monitor and I am proactively using that monitor as the 2nd screen just if the finishing of the product can be improved then it would be a better purchase option.,Save it purpose well without any issue. I am satisfied,Working fine,GO FOR IT,It’s works properly good product but poor quality,I buy this product after so many reviews. this product is not so much clear. But it get the job done. you can buy to get display only. not so much clear. but still price is very good compare to other products.,Good,It worked really well for 3-4 months but now it started showing its ""cheap chinese"" side. Display keeps disconnecting randomly and will come back. It's a headache to read/work on external monitor now since it keeps disconnecting the external monitor and then reconnects it.",-
"R1SN0D4DFBKAZI,R1SX5L77L2CD6V,R1NAZ6M4QBUJMK,R25I5FXOJA76KS,R32V7DQLDSKJ99,R8QWY8HXI120P,R2OZPGGMUCLSC1,R1G4SA1P865EIS",5:6c218a69-b37f-472b-850d-2b9772792e4a:1152922604118475042,4.3,Positive,Negative,-0.8476,"Overall good.,TV picture ok smart betterSound very low another brand,Service provider refuse install my TV, bad service and samsung, I am calling 3 times service provider. Not meet my home address.why ? Bad bad,They product did not come with the support stand or wall hanging hook to install the Tv,Picture quality is very poor in cables,Floor stand does not come with it ... You have to buy it seperately. Request Amazon to cleary mention it in the add . You will have to pay seperate charges for the installation guy to buy the floor mount .,Good,",Sentimen Negatif Umum
"R1SN0D4DFBKAZI,R1SX5L77L2CD6V,R1NAZ6M4QBUJMK,R25I5FXOJA76KS,R32V7DQLDSKJ99,R8QWY8HXI120P,R2OZPGGMUCLSC1,R1G4SA1P865EIS",5:6c218a69-b37f-472b-850d-2b9772792e4a:1155174403932160290,4.3,Positive,Negative,-0.8476,"Overall good.,TV picture ok smart betterSound very low another brand,Service provider refuse install my TV, bad service and samsung, I am calling 3 times service provider. Not meet my home address.why ? Bad bad,They product did not come with the support stand or wall hanging hook to install the Tv,Picture quality is very poor in cables,Floor stand does not come with it ... You have to buy it seperately. Request Amazon to cleary mention it in the add . You will have to pay seperate charges for the installation guy to buy the floor mount .,Good,",Sentimen Negatif Umum
"R1Q323BB35OP30,RJ0CSQUUWFF9W,R23OB4XMH3S9QD,R1K5FQR6CYMQAV,R3QMD6JDUGQUCI,R1R5LTMWOXI38M,R241G3F07D3OBH,R1O7BQ61DXRVWW",5:6c218a69-b37f-472b-850d-2b9772792e4a:1157426203745845550,3.9,Neutral,Positive,0.836,"It's a good data cable and I recommend it to purchase,the only issue was the metal pin is not fixed firmly so it has become loose,otherwise no issue,must purchase,https://m.media-amazon.com/images/I/615SgnWv1ML._SY88.jpg,Charging cable which is sturdy it's not a fast charging cable but the three outlets does the job.,Good sturdy micro usb cable with good charging speeds. Please don't raise prices,Nice product, a simpla microusb cable,😂,Best for this price,Good one",-
"R1Q323BB35OP30,RJ0CSQUUWFF9W,R23OB4XMH3S9QD,R1K5FQR6CYMQAV,R3QMD6JDUGQUCI,R1R5LTMWOXI38M,R241G3F07D3OBH,R1O7BQ61DXRVWW",5:6c218a69-b37f-472b-850d-2b9772792e4a:1159678003559530798,3.9,Neutral,Positive,0.836,"It's a good data cable and I recommend it to purchase,the only issue was the metal pin is not fixed firmly so it has become loose,otherwise no issue,must purchase,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/615SgnWv1ML._SY88.jpg,Charging cable which is sturdy it's not a fast charging cable but the three outlets does the job.,Good sturdy micro usb cable with good charging speeds. Please don't raise prices,Nice product, a simpla microusb cable,😂,Best for this price,Good one",-
